Name,Address,Food Type,Contact
Chatterbox Café (K11 Musea),Chatterbox Café (K11 Musea),Tsim Sha Tsui / Singaporean / Food Wise Eateries / $101-200,/en/hongkong/r-chatterbox-cafe-tsim-sha-tsui-singaporean-r642510
Ukiyo,Ukiyo,Tsim Sha Tsui / Western / All Day Breakfast / $201-400,/en/hongkong/r-ukiyo-tsim-sha-tsui-western-all-day-breakfast-r771697
Glasshouse Greenery (K11 Musea),Glasshouse Greenery (K11 Musea),Tsim Sha Tsui / Western / All Day Breakfast / $201-400,/en/hongkong/r-glasshouse-greenery-tsim-sha-tsui-western-salad-r673847
Chan．Taiwan Cuisine,Chan．Taiwan Cuisine,Tsim Sha Tsui / Taiwan / Noodles/Rice Noodles / $51-100,/en/hongkong/r-chan-taiwan-cuisine-tsim-sha-tsui-taiwan-noodles-rice-noodles-r773259
181 FORTNUM & MASON,181 FORTNUM & MASON,Tsim Sha Tsui / Western / $401-800,/en/hongkong/r-181-fortnum-mason-tsim-sha-tsui-western-r661800
TIRPSE,TIRPSE,Tsim Sha Tsui / Japanese / French / Above $801,/en/hongkong/r-tirpse-tsim-sha-tsui-japanese-fine-dining-r649488
Velo Italian Bar & Grill,Velo Italian Bar & Grill,Tsim Sha Tsui / Italian / Pizza / $401-800,/en/hongkong/r-velo-italian-bar-grill-tsim-sha-tsui-italian-pizza-r633231
Greyhound Café Galleria (K11 Musea),Greyhound Café Galleria (K11 Musea),Tsim Sha Tsui / Thai / $201-400,/en/hongkong/r-greyhound-cafe-galleria-tsim-sha-tsui-thai-r673840
Yakiniku JIKON by Tominokoji Yamagishi,Yakiniku JIKON by Tominokoji Yamagishi,Tsim Sha Tsui / Japanese / Roast Meat / $401-800,/en/hongkong/r-yakiniku-jikon-by-tominokoji-yamagishi-tsim-sha-tsui-japanese-roast-meat-r699969
Yè Shanghai,Yè Shanghai,Tsim Sha Tsui / Shanghai / Stir-Fry / $201-400 / Michelin 2024,/en/hongkong/r-ye-shanghai-tsim-sha-tsui-shanghai-r663490
Takano Ramen (K11 Musea),Takano Ramen (K11 Musea),Tsim Sha Tsui / Japanese / Ramen / $101-200,/en/hongkong/r-takano-ramen-tsim-sha-tsui-japanese-ramen-r640360
THE MUSSELS,THE MUSSELS,Tsim Sha Tsui / French / Western / $201-400,/en/hongkong/r-the-mussels-tsim-sha-tsui-western-seafood-r728985
Coucou Reserve (K11 Musea),Coucou Reserve (K11 Musea),Tsim Sha Tsui / Taiwan / Hot Pot / $201-400,/en/hongkong/r-coucou-reserve-tsim-sha-tsui-taiwan-hot-pot-r679995
Gontran Cherrier (Bakery),Gontran Cherrier (Bakery),Tsim Sha Tsui / French / Bakery / Below $50,/en/hongkong/r-gontran-cherrier-bakery-tsim-sha-tsui-french-bakery-r703636
Kaiyō,Kaiyō,Tsim Sha Tsui / Japanese / Izakaya / Above $801,/en/hongkong/r-kaiy-tsim-sha-tsui-japanese-r633238
